"MANDT","KURST","FCURR","TCURR","GDATU","FFACT","TFACT","ABWCT","ABWGA"
"812","EURO","FRF","ITL","81999898","1","1","","00000000"
"000","EURX","EUR","COP","81999898","1","1000","","00000000"
"800","M","USD","MXN","81999898","1","100","","00000000"
"811","M","FRF","DEM","80009898","1","1","EURO","00000000"
"812","EURO","FRF","LUF","81999898","1","1","","00000000"
"800","M","USD","ROL","81999898","1","1000","","00000000"
"000","EURX","EUR","CYP","81999898","1","1","","00000000"
"811","M","FRF","ESP","80009898","1","1","EURO","00000000"
"812","EURO","FRF","NLG","81999898","1","1","","00000000"
"800","M","USD","RUR","81999898","1","10000","","00000000"
"000","EURX","EUR","CZK","81999898","1","1","","00000000"
"811","M","FRF","FIM","80009898","1","1","EURO","00000000"
"812","EURO","FRF","PTE","81999898","1","1","","00000000"
"800","P","MXN","USD","81999898","100","1","","00000000"
"811","M","FRF","ITL","80009898","1","1","EURO","00000000"
"000","EURX","EUR","DKK","81999898","1","1","","00000000"
"812","EURO","IEP","ATS","81999898","1","1","","00000000"
"810","1001","AUD","USD","81999898","1","1","","00000000"
"000","EURX","EUR","GRD","81999898","1","1","","00000000"
"811","M","FRF","LUF","80009898","1","1","EURO","00000000"
"812","EURO","IEP","BEF","81999898","1","1","","00000000"
"810","1001","DEM","USD","81999898","1","1","","00000000"
"811","M","FRF","NLG","80009898","1","1","EURO","00000000"
"812","EURO","IEP","ESP","81999898","1","1","","00000000"
"000","EURX","EUR","HKD","81999898","1","1","","00000000"
"810","1001","ESP","USD","81999898","1","1","","00000000"
"800","EURG","USD","DEM","81999898","1","1","","00000000"
"811","M","FRF","PTE","80009898","1","1","EURO","00000000"
"812","EURO","IEP","FIM","81999898","1","1","","00000000"
"810","1001","FRF","USD","81999898","1","1","","00000000"
"000","EURX","EUR","HRK","81999898","1","1","","00000000"
"811","M","GBP","BEF","80009898","1","1","EURX","00000000"
"812","EURO","IEP","ITL","81999898","1","1","","00000000"
"810","1001","GBP","USD","81999898","1","1","","00000000"
"000","EURX","EUR","HUF","81999898","1","1","","00000000"
"800","EURG","USD","EUR","81999898","1","1","","00000000"
"811","M","GBP","DEM","80009898","1","1","EURX","00000000"
"812","EURO","IEP","LUF","81999898","1","1","","00000000"
"810","1002","AUD","USD","81999898","1","1","","00000000"
"811","M","GBP","ESP","80009898","1","1","EURX","00000000"
"000","EURX","EUR","IDR","81999898","1","1000","","00000000"
"812","EURO","IEP","NLG","81999898","1","1","","00000000"
"800","EURO","ATS","BEF","81999898","1","1","","00000000"
"810","1002","DEM","USD","81999898","1","1","","00000000"
"811","M","GBP","FIM","80009898","1","1","EURX","00000000"
"000","EURX","EUR","IEP","81999898","100","1","","00000000"
"812","EURO","IEP","PTE","81999898","1","1","","00000000"
"810","1002","ESP","USD","81999898","1","1","","00000000"
"811","M","GBP","FRF","80009898","1","1","EURX","00000000"
"800","EURO","ATS","DEM","81999898","100","1","","00000000"
"812","EURO","ITL","ATS","81999898","1000","1","","00000000"
"000","EURX","EUR","ILS","81999898","1","1","","00000000"
"810","1002","FRF","USD","81999898","1","1","","00000000"
"800","EURO","ATS","NLG","81999898","100","1","","00000000"
"811","M","GBP","ITL","80009898","1","1","EURX","00000000"
"000","EURX","EUR","INR","81999898","1","1","","00000000"
"812","EURO","ITL","BEF","81999898","1000","1","","00000000"
"800","EURO","ATS","ESP","81999898","1","1","","00000000"
"811","M","GBP","LUF","80009898","1","1","EURX","00000000"
"810","1002","GBP","USD","81999898","1","1","","00000000"
"000","EURX","EUR","JPY","81999898","1","1","","00000000"
"812","EURO","ITL","ESP","81999898","1000","1","","00000000"
"800","EURO","BEF","IEP","81999898","1","1","","00000000"
"811","M","GBP","NLG","80009898","1","1","EURX","00000000"
"810","1003","AUD","USD","81999898","1","1","","00000000"
"800","EURO","ATS","EUR","81999898","100","1","","00000000"
"000","EURX","EUR","KRW","81999898","1","1","","00000000"
"811","M","GBP","PTE","80009898","1","1","EURX","00000000"
"812","EURO","ITL","FIM","81999898","1000","1","","00000000"
"810","1003","DEM","USD","81999898","1","1","","00000000"
"800","EURO","BEF","LUF","81999898","1","1","","00000000"
"800","EURO","ATS","FIM","81999898","100","1","","00000000"
"000","EURX","EUR","LUF","81999898","1","1","","00000000"
"810","1003","ESP","USD","81999898","1","1","","00000000"
"811","M","HRK","DEM","80009898","100","1","EURX","00000000"
"812","EURO","ITL","IEP","81999898","1000","1","","00000000"
"800","EURO","ATS","FRF","81999898","100","1","","00000000"
"000","EURX","EUR","MXN","81999898","1","1","","00000000"
"811","M","HUF","DEM","80009898","100","1","EURX","00000000"
"800","EURO","BEF","NLG","81999898","100","1","","00000000"
"810","1003","FRF","USD","81999898","1","1","","00000000"
"812","EURO","ITL","LUF","81999898","1000","1","","00000000"
"000","EURX","EUR","MYR","81999898","1","1","","00000000"
"811","M","IEP","BEF","80009898","1","1","EURO","00000000"
"810","1003","GBP","USD","81999898","1","1","","00000000"
"000","EURX","EUR","NOK","81999898","1","1","","00000000"
"800","EURO","DEM","BEF","81999898","1","1","","00000000"
"811","M","IEP","DEM","80009898","1","1","EURO","00000000"
"810","1004","AUD","USD","81999898","1","1","","00000000"
"000","EURX","EUR","NZD","81999898","1","1","","00000000"
"800","EURO","ATS","ITL","81999898","1","1","","00000000"
"812","EURO","ITL","NLG","81999898","1000","1","","00000000"
"800","EURO","DEM","IEP","81999898","100","1","","00000000"
"811","M","IEP","ESP","80009898","1","1","EURO","00000000"
"810","1004","DEM","USD","81999898","1","1","","00000000"
"000","EURX","EUR","PEN","81999898","1","1","","00000000"
"812","EURO","ITL","PTE","81999898","1","1","","00000000"
"800","EURO","ATS","PTE","81999898","1","1","","00000000"
"810","1004","ESP","USD","81999898","1","1","","00000000"
"000","EURX","EUR","PHP","81999898","1","1","","00000000"
"811","M","IEP","FIM","80009898","1","1","EURO","00000000"
"800","EURO","DEM","LUF","81999898","1","1","","00000000"
"812","EURO","LUF","ATS","81999898","100","1","","00000000"
"810","1004","FRF","USD","81999898","1","1","","00000000"
"000","EURX","EUR","PLN","81999898","1","1","","00000000"
"800","EURO","BEF","ATS","81999898","100","1","","00000000"
"811","M","IEP","FRF","80009898","1","1","EURO","00000000"
"812","EURO","LUF","BEF","81999898","1","1","","00000000"
"810","1004","GBP","USD","81999898","1","1","","00000000"
"800","EURO","DEM","NLG","81999898","1","1","","00000000"
"000","EURX","EUR","ROL","81999898","1","1000","","00000000"
"811","M","IEP","ITL","80009898","1","1","EURO","00000000"
"812","EURO","LUF","ESP","81999898","1","1","","00000000"
"800","EURO","BEF","DEM","81999898","100","1","","00000000"
"810","1011","AUD","USD","81999898","1","1","","00000000"
"000","EURX","EUR","RUB","81999898","1","1","","00000000"
"811","M","IEP","LUF","80009898","1","1","EURO","00000000"
"800","EURO","ESP","BEF","81999898","100","1","","00000000"
"812","EURO","LUF","FIM","81999898","100","1","","00000000"
"810","1011","DEM","USD","81999898","1","1","","00000000"
"000","EURX","EUR","SAR","81999898","1","1","","00000000"
"811","M","IEP","NLG","80009898","1","1","EURO","00000000"
"800","EURO","BEF","ESP","81999898","1","1","","00000000"
"812","EURO","LUF","IEP","81999898","100","1","","00000000"
"810","1011","ESP","USD","81999898","1","1","","00000000"
"800","EURO","ESP","IEP","81999898","100","1","","00000000"
"000","EURX","EUR","SEK","81999898","1","1","","00000000"
"811","M","IEP","PTE","80009898","1","1","EURO","00000000"
"812","EURO","LUF","ITL","81999898","1","1","","00000000"
"800","EURO","BEF","EUR","81999898","1000","1","","00000000"
"810","1011","FRF","USD","81999898","1","1","","00000000"
"811","M","ITL","BEF","80009898","1000","1","EURO","00000000"
"000","EURX","EUR","SGD","81999898","1","1","","00000000"
"812","EURO","LUF","NLG","81999898","100","1","","00000000"
"800","EURO","ESP","LUF","81999898","100","1","","00000000"
"810","1011","GBP","USD","81999898","1","1","","00000000"
"811","M","ITL","DEM","80009898","1000","1","EURO","00000000"
"812","EURO","LUF","PTE","81999898","1","1","","00000000"
"000","EURX","EUR","SIT","81999898","1","1","","00000000"
"800","EURO","BEF","FIM","81999898","100","1","","00000000"
"800","EURO","ESP","NLG","81999898","100","1","","00000000"
"810","1012","AUD","USD","81999898","1","1","","00000000"
"811","M","ITL","ESP","80009898","1000","1","EURO","00000000"
"812","EURO","NLG","ATS","81999898","1","1","","00000000"
"000","EURX","EUR","SKK","81999898","1","1","","00000000"
"811","M","ITL","FIM","80009898","1000","1","EURO","00000000"
"810","1012","DEM","USD","81999898","1","1","","00000000"
"800","EURO","BEF","FRF","81999898","100","1","","00000000"
"812","EURO","NLG","BEF","81999898","1","1","","00000000"
"800","EURO","EUR","BEF","81999898","1","1","","00000000"
"000","EURX","EUR","THB","81999898","1","1","","00000000"
"811","M","ITL","FRF","80009898","1000","1","EURO","00000000"
"810","1012","ESP","USD","81999898","1","1","","00000000"
"000","EURX","EUR","TRL","81999898","1","100000","","00000000"
"812","EURO","NLG","ESP","81999898","1","1","","00000000"
"800","EURO","BEF","ITL","81999898","1","1","","00000000"
"000","EURX","EUR","TWD","81999898","1","1","","00000000"
"811","M","ITL","LUF","80009898","1000","1","EURO","00000000"
"800","EURO","EUR","ECU","81999898","1","1","","00000000"
"810","1012","FRF","USD","81999898","1","1","","00000000"
"812","EURO","NLG","FIM","81999898","1","1","","00000000"
"000","EURX","EUR","UAH","81999898","1","1","","00000000"
"800","EURO","BEF","PTE","81999898","1","1","","00000000"
"811","M","ITL","NLG","80009898","1000","1","EURO","00000000"
"800","EURO","EUR","IEP","81999898","100","1","","00000000"
"812","EURO","NLG","IEP","81999898","1","1","","00000000"
"810","1012","GBP","USD","81999898","1","1","","00000000"
"000","EURX","EUR","VEB","81999898","1","1","","00000000"
"811","M","ITL","PTE","80009898","1","1","EURO","00000000"
"800","EURO","DEM","ATS","81999898","1","1","","00000000"
"810","1013","AUD","USD","81999898","1","1","","00000000"
"800","EURO","EUR","LUF","81999898","1","1","","00000000"
"812","EURO","NLG","ITL","81999898","1","1","","00000000"
"000","EURX","EUR","ZAR","81999898","1","1","","00000000"
"811","M","JPY","DEM","80009898","100","1","EURX","00000000"
"810","1013","DEM","USD","81999898","1","1","","00000000"
"800","EURO","DEM","ESP","81999898","1","1","","00000000"
"000","EURX","FIM","CHF","81999898","1","1","","00000000"
"812","EURO","NLG","LUF","81999898","1","1","","00000000"
"811","M","JPY","USD","80009898","100","1","EURX","00000000"
"800","EURO","EUR","NLG","81999898","1","1","","00000000"
"810","1013","ESP","USD","81999898","1","1","","00000000"
"800","EURO","DEM","EUR","81999898","1","1","","00000000"
"000","EURX","FIM","DKK","81999898","1","1","","00000000"
"811","M","LUF","BEF","80009898","100","1","EURO","00000000"
"812","EURO","NLG","PTE","81999898","1","1","","00000000"
"810","1013","FRF","USD","81999898","1","1","","00000000"
"812","M","ARS","EUR","81999898","100","1","","00000000"
"800","EURO","FIM","BEF","81999898","1","1","","00000000"
"812","EURO","PTE","ATS","81999898","100","1","","00000000"
"800","EURO","DEM","FIM","81999898","1","1","","00000000"
"000","EURX","FIM","GRD","81999898","1","1","","00000000"
"811","M","LUF","DEM","80009898","100","1","EURO","00000000"
"810","1013","GBP","USD","81999898","1","1","","00000000"
"812","EURO","PTE","BEF","81999898","100","1","","00000000"
"800","EURO","FIM","IEP","81999898","1","1","","00000000"
"000","EURX","FIM","JPY","81999898","1","1","","00000000"
"811","M","LUF","ESP","80009898","1","1","EURO","00000000"
"800","EURO","DEM","FRF","81999898","1","1","","00000000"
"810","1014","AUD","USD","81999898","1","1","","00000000"
"812","M","ARS","MXN","81999898","1","1","","00000000"
"812","EURO","PTE","ESP","81999898","100","1","","00000000"
"811","M","LUF","FIM","80009898","100","1","EURO","00000000"
"000","EURX","FIM","NOK","81999898","1","1","","00000000"
"800","EURO","FIM","LUF","81999898","1","1","","00000000"
"810","1014","DEM","USD","81999898","1","1","","00000000"
"812","EURO","PTE","FIM","81999898","100","1","","00000000"
"811","M","LUF","FRF","80009898","100","1","EURO","00000000"
"800","EURO","DEM","ITL","81999898","1","1","","00000000"
"000","EURX","FIM","SEK","81999898","1","1","","00000000"
"812","M","ATS","BEF","81999898","1","1","","00000000"
"810","1014","ESP","USD","81999898","1","1","","00000000"
"811","M","LUF","ITL","80009898","1","1","EURO","00000000"
"812","EURO","PTE","IEP","81999898","100","1","","00000000"
"800","EURO","FIM","NLG","81999898","1","1","","00000000"
"000","EURX","FRF","CHF","81999898","1","1","","00000000"
"800","EURO","DEM","PTE","81999898","1","1","","00000000"
"810","1014","FRF","USD","81999898","1","1","","00000000"
"811","M","LUF","NLG","80009898","100","1","EURO","00000000"
"812","EURO","PTE","ITL","81999898","1","1","","00000000"
"812","M","ATS","CHF","81999898","100","1","","00000000"
"000","EURX","FRF","DKK","81999898","1","1","","00000000"
"800","EURO","FRF","BEF","81999898","1","1","","00000000"
"810","1014","GBP","USD","81999898","1","1","","00000000"
"800","EURO","ECU","EUR","81999898","1","1","","00000000"
"811","M","LUF","PTE","80009898","1","1","EURO","00000000"
"812","EURO","PTE","LUF","81999898","100","1","","00000000"
"812","M","ATS","DEM","81999898","100","1","","00000000"
"000","EURX","FRF","GRD","81999898","1","1","","00000000"
"810","2001","AUD","USD","81999898","1","1","","00000000"
"812","EURO","PTE","NLG","81999898","100","1","","00000000"
"811","M","MXN","DEM","80009898","100","1","EURX","00000000"
"800","EURO","FRF","IEP","81999898","1","1","","00000000"
"800","EURO","ESP","ATS","81999898","100","1","","00000000"
"000","EURX","FRF","JPY","81999898","1","1","","00000000"
"812","M","ATS","DKK","81999898","100","1","","00000000"
"812","P","DEM","JPY","81999898","1","1","","00000000"
"000","EURX","FRF","NOK","81999898","1","1","","00000000"
"811","M","NLG","BEF","80009898","1","1","EURO","00000000"
"810","2001","CAD","USD","81999898","1","1","","00000000"
"800","EURO","FRF","LUF","81999898","1","1","","00000000"
"800","EURO","ESP","DEM","81999898","100","1","","00000000"
"812","M","ATS","ESP","81999898","1","1","","00000000"
"000","EURX","FRF","SEK","81999898","1","1","","00000000"
"812","P","EUR","JPY","81999898","1","1","","00000000"
"811","M","NLG","DEM","80009898","1","1","EURO","00000000"
"810","2001","DEM","USD","81999898","1","1","","00000000"
"800","EURO","FRF","NLG","81999898","1","1","","00000000"
"800","EURO","ESP","EUR","81999898","1000","1","","00000000"
"811","M","NLG","ESP","80009898","1","1","EURO","00000000"
"812","P","USD","JPY","81999898","1","1","","00000000"
"810","2001","ESP","USD","81999898","1","1","","00000000"
"000","EURX","GBP","GRD","81999898","1","1","","00000000"
"812","M","ATS","FIM","81999898","100","1","","00000000"
"800","EURO","IEP","BEF","81999898","1","1","","00000000"
"811","M","NLG","FIM","80009898","1","1","EURO","00000000"
"810","2001","FRF","USD","81999898","1","1","","00000000"
"800","EURO","ESP","FIM","81999898","100","1","","00000000"
"000","EURX","GBP","IEP","81999898","1","1","","00000000"
"000","GTSC","LYD","EUR","80009898","1","1","","00000000"
"811","M","NLG","FRF","80009898","1","1","EURO","00000000"
"812","M","ATS","FRF","81999898","100","1","","00000000"
"800","EURO","IEP","LUF","81999898","1","1","","00000000"
"810","2001","GBP","USD","81999898","1","1","","00000000"
"000","EURX","GBP","LUF","81999898","1","1","","00000000"
"000","GTSC","MAD","EUR","80009898","1","1","","00000000"
"811","M","NLG","ITL","80009898","1","1","EURO","00000000"
"800","EURO","ESP","FRF","81999898","1","1","","00000000"
"810","2001","ITL","USD","81999898","1","1","","00000000"
"000","GTSC","MDL","EUR","80009898","1","1","","00000000"
"800","EURO","IEP","NLG","81999898","1","1","","00000000"
"812","M","ATS","GBP","81999898","100","1","","00000000"
"811","M","NLG","LUF","80009898","1","1","EURO","00000000"
"000","EURX","GRD","CHF","81999898","100","1","","00000000"
"810","2001","PTE","USD","81999898","1","1","","00000000"
"800","EURO","ESP","ITL","81999898","1","1","","00000000"
"000","GTSC","MTL","EUR","80009898","1","1","","00000000"
"811","M","NLG","PTE","80009898","1","1","EURO","00000000"
"000","EURX","GRD","DKK","81999898","100","1","","00000000"
"810","2002","AUD","USD","81999898","1","1","","00000000"
"800","EURO","ITL","BEF","81999898","1000","1","","00000000"
"812","M","ATS","GRD","81999898","1","1","","00000000"
"000","GTSC","MUR","EUR","80009898","1","1","","00000000"
"811","M","PEN","DEM","80009898","100","1","EURX","00000000"
"000","EURX","GRD","IEP","81999898","1","1","","00000000"
"800","EURO","ESP","PTE","81999898","1","1","","00000000"
"810","2002","CAD","USD","81999898","1","1","","00000000"
"800","EURO","ITL","IEP","81999898","10000","1","","00000000"
"812","M","ATS","IEP","81999898","100","1","","00000000"
"811","M","PKT","DEM","80009898","1","1","EURO","00000000"
"000","GTSC","MWK","EUR","80009898","1","1","","00000000"
"810","2002","DEM","USD","81999898","1","1","","00000000"
"000","EURX","GRD","JPY","81999898","100","1","","00000000"
"800","EURO","EUR","ATS","81999898","1","1","","00000000"
"811","M","PKT","USD","80009898","1","1","EURX","00000000"
"000","GTSC","MXN","EUR","80009898","1","1","","00000000"
"812","M","ATS","ITL","81999898","1","1","","00000000"
"800","EURO","ITL","LUF","81999898","1000","1","","00000000"
"810","2002","ESP","USD","81999898","1","1","","00000000"
"000","EURX","GRD","LUF","81999898","1","1","","00000000"
"811","M","PLN","DEM","80009898","100","1","EURX","00000000"
"000","GTSC","MYR","EUR","80009898","1","1","","00000000"
"800","EURO","EUR","DEM","81999898","1","1","","00000000"
"810","2002","FRF","USD","81999898","1","1","","00000000"
"812","M","ATS","JPY","81999898","100","1","","00000000"
"000","EURX","GRD","NOK","81999898","100","1","","00000000"
"811","M","PTE","BEF","80009898","100","1","EURO","00000000"
"000","GTSC","NAD","EUR","80009898","1","1","","00000000"
"800","EURO","ITL","NLG","81999898","1000","1","","00000000"
"810","2002","GBP","USD","81999898","1","1","","00000000"
"800","EURO","EUR","ESP","81999898","1","1","","00000000"
"811","M","PTE","DEM","80009898","100","1","EURO","00000000"
"812","M","ATS","LUF","81999898","1","1","","00000000"
"000","EURX","GRD","SEK","81999898","100","1","","00000000"
"000","GTSC","NGN","EUR","80009898","1","1","","00000000"
"810","2002","ITL","USD","81999898","1","1","","00000000"
"800","EURO","LUF","BEF","81999898","100","1","","00000000"
"811","M","PTE","DEM","80019898","100","1","","00000000"
"000","GTSC","NOK","EUR","80009898","1","1","","00000000"
"000","EURX","IEP","CHF","81999898","1","1","","00000000"
"800","EURO","EUR","FIM","81999898","1","1","","00000000"
"810","2002","PTE","USD","81999898","1","1","","00000000"
"811","M","PTE","ESP","80009898","1","1","EURO","00000000"
"812","M","ATS","NLG","81999898","100","1","","00000000"
"800","EURO","LUF","IEP","81999898","100","1","","00000000"
"000","GTSC","NPR","EUR","80009898","1","1","","00000000"
"000","EURX","IEP","DKK","81999898","1","1","","00000000"
"811","M","PTE","FIM","80009898","100","1","EURO","00000000"
"000","GTSC","NZD","EUR","80009898","1","1","","00000000"
"800","EURO","EUR","FRF","81999898","1","1","","00000000"
"810","2003","AUD","USD","81999898","1","1","","00000000"
"812","M","ATS","NOK","81999898","100","1","","00000000"
"000","EURX","IEP","GRD","81999898","1","1","","00000000"
"800","EURO","LUF","NLG","81999898","100","1","","00000000"
"811","M","PTE","FRF","80009898","100","1","EURO","00000000"
"000","GTSC","PEN","EUR","80009898","1","1","","00000000"
"811","M","PTE","ITL","80009898","1","10","EURO","00000000"
"000","EURX","IEP","JPY","81999898","1","1","","00000000"
"812","M","ATS","PTE","81999898","1","1","","00000000"
"800","EURO","EUR","ITL","81999898","1","1","","00000000"
"810","2003","CAD","USD","81999898","1","1","","00000000"
"000","GTSC","PHP","EUR","80009898","1","1","","00000000"
"800","EURO","NLG","BEF","81999898","1","1","","00000000"
"811","M","PTE","LUF","80009898","100","1","EURO","00000000"
"000","EURX","IEP","NOK","81999898","1","1","","00000000"
"000","GTSC","PKR","EUR","80009898","1","1","","00000000"
"811","M","PTE","NLG","80009898","100","1","EURO","00000000"
"812","M","ATS","SEK","81999898","100","1","","00000000"
"800","EURO","NLG","IEP","81999898","1","1","","00000000"
"800","EURO","EUR","PTE","81999898","1","1","","00000000"
"810","2003","DEM","USD","81999898","1","1","","00000000"
"000","EURX","IEP","SEK","81999898","1","1","","00000000"
"000","GTSC","QAR","EUR","80009898","1","1","","00000000"
"811","M","ROL","DEM","80009898","10000","1","EURX","00000000"
"000","EURX","ITL","CHF","81999898","100","1","","00000000"
"000","GTSC","RSD","EUR","80009898","1","1","","00000000"
"812","M","ATS","USD","81999898","100","1","","00000000"
"800","EURO","NLG","LUF","81999898","1","1","","00000000"
"800","EURO","FIM","ATS","81999898","1","1","","00000000"
"811","M","RUB","DEM","80009898","100","1","EURX","00000000"
"810","2003","ESP","USD","81999898","1","1","","00000000"
"000","EURX","ITL","DKK","81999898","100","1","","00000000"
"000","GTSC","RUB","EUR","80009898","1","1","","00000000"
"811","M","SIT","DEM","80009898","100","1","EURX","00000000"
"812","M","AUD","EUR","81999898","100","1","","00000000"
"000","EURX","ITL","GBP","81999898","1","1","","00000000"
"000","GTSC","SAR","EUR","80009898","1","1","","00000000"
"800","EURO","PTE","BEF","81999898","100","1","","00000000"
"800","EURO","FIM","DEM","81999898","1","1","","00000000"
"810","2003","FRF","USD","81999898","1","1","","00000000"
"811","M","SKK","DEM","80009898","100","1","EURX","00000000"
"000","EURX","ITL","GRD","81999898","1","1","","00000000"
"000","GTSC","SEK","EUR","80009898","1","1","","00000000"
"811","M","USD","BEF","80009898","1","1","EURX","00000000"
"812","M","AUD","NZD","81999898","1","1","","00000000"
"800","EURO","FIM","ESP","81999898","1","1","","00000000"
"000","EURX","ITL","JPY","81999898","100","1","","00000000"
"800","EURO","PTE","IEP","81999898","100","1","","00000000"
"000","GTSC","SGD","EUR","80009898","1","1","","00000000"
"810","2003","GBP","USD","81999898","1","1","","00000000"
"811","M","USD","DEM","80009898","1","1","EURX","00000000"
"000","EURX","ITL","NOK","81999898","100","1","","00000000"
"000","GTSC","SKK","EUR","80009898","1","1","","00000000"
"811","M","USD","ESP","80009898","1","1","EURX","00000000"
"810","2003","ITL","USD","81999898","1","1","","00000000"
"800","EURO","FIM","EUR","81999898","100","1","","00000000"
"812","M","BEF","ATS","81999898","100","1","","00000000"
"800","EURO","PTE","LUF","81999898","100","1","","00000000"
"000","EURX","ITL","SEK","81999898","100","1","","00000000"
"811","M","USD","FIM","80009898","1","1","EURX","00000000"
"000","GTSC","SYP","EUR","80009898","1","1","","00000000"
"810","2003","PTE","USD","81999898","1","1","","00000000"
"000","EURX","JPY","GRD","81999898","100","1","","00000000"
"811","M","USD","FRF","80009898","1","1","EURX","00000000"
"800","EURO","PTE","NLG","81999898","100","1","","00000000"
"800","EURO","FIM","FRF","81999898","1","1","","00000000"
"000","GTSC","SZL","EUR","80009898","1","1","","00000000"
"811","M","USD","ITL","80009898","1","1","EURX","00000000"
"000","EURX","JPY","IEP","81999898","1","1","","00000000"
"810","2004","AUD","USD","81999898","1","1","","00000000"
"000","GTSC","THB","EUR","80009898","1","1","","00000000"
"812","M","BEF","CHF","81999898","100","1","","00000000"
"800","EURX","CHF","BEF","81999898","1","1","","00000000"
"811","M","USD","LUF","80009898","1","1","EURX","00000000"
"000","EURX","JPY","LUF","81999898","100","1","","00000000"
"800","EURO","FIM","ITL","81999898","1","1","","00000000"
"000","GTSC","TJS","EUR","80009898","1","1","","00000000"
"811","M","USD","NLG","80009898","1","1","EURX","00000000"
"810","2004","CAD","USD","81999898","1","1","","00000000"
"000","EURX","LUF","CHF","81999898","100","1","","00000000"
"812","M","BEF","DEM","81999898","100","1","","00000000"
"000","GTSC","TMM","EUR","80009898","1","1","","00000000"
